Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8,0.92,11.295425956041104,0,1,226.4155471693585,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,10.732493415479688,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,9.964522443121997,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,9.954446791133256,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,11.18267988243989,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,10.525211768465944,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,10.370805929717411,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,11.254189968552817,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,11.383485348791732,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,10.525211768465944,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,10.510802297245792,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,11.063134731790107,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,11.061462490597744,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,10.931153634628432,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,10.717261720884188,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,10.37232400089118,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others
Dell,Notebook,4,2.2,10.159709917169616,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others
Asus,Notebook,6,2.0,10.333403292740233,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,11.105659536357711,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,10.55342238395318,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,9.83063294843456,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,10.447907320733034,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others
HP,Ultrabook,8,1.38,10.99575173454406,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,11.17598591917709,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,10.46628456073464,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,10.003598553570956,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,11.05978744833005,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,11.144911042902732,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,11.275358392990295,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,11.116014069333293,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,11.204674904025437,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,11.219074000897615,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,10.55758616512496,0,1,111.93520355955212,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,11.37128263483418,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,11.219066852909238,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,10.963974208231726,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,11.005825930702713,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,10.310615277730191,0,0,127.33567457123112,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,10.994857679947176,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,10.147261623643049,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,11.690461589827628,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,10.419692282932576,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
HP,Notebook,16,2.5,11.123120297421588,0,0,127.33567457123112,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,10.087028365734811,0,0,100.45466986113652,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,9.532389087931673,0,0,100.45466986113652,Other Intel Processor,500,0,Intel,Others
HP,Notebook,8,1.63,10.675061366393813,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,9.603146168052769,0,0,111.93520355955212,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,11.216927309554451,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,10.808592759018332,0,0,127.33567457123112,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,10.435449831034946,0,0,100.45466986113652,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,10.082583913974387,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,10.760018088869778,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,10.324700017611931,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,10.369151780182763,0,0,100.45466986113652,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,10.87124372398,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,9.506417665734745,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Others
Asus,Gaming,8,3.0,10.81931097523836,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,10.188167121983652,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,4,1.32,10.525211768465944,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,10.460196261867386,0,1,127.33567457123112,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,10.99308509015976,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,10.742904151497523,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others
Toshiba,Notebook,4,2.1,10.375818471540954,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,9.88635767027266,0,0,100.45466986113652,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,10.977716980635757,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,11.583439099510642,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,9.816202683605532,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,11.590859366057948,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,10.078119620845705,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,11.105867681227291,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,10.776844060703754,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,10.186161103256786,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,11.51989313428582,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,10.96212748563856,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,10.403666298916727,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,10.419692282932576,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,11.157152970844,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,10.931153634628432,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,10.078119620845705,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,9.974497588178815,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,10.666403303650696,0,1,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,10.56586207442882,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,10.959350991490268,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,9.827763506006608,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,11.470547260182666,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,9.871367833143674,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,10.942047370678033,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,10.725492220020705,0,1,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,10.60095339424009,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,11.18267988243989,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,10.525211768465944,0,1,127.33567457123112,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,9.70890230312988,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others
Toshiba,Notebook,4,2.0,10.167923515707006,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,10.803190260734986,0,0,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,10.104611236292678,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,10.082583913974387,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,11.912578515747589,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,10.676292135779944,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,11.288114524334732,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,10.931153634628432,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others
Dell,Ultrabook,8,1.23,11.219074000897615,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,11.49796125761926,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,10.651384247866982,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,11.064804181259648,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Dell,Notebook,16,2.77,11.320925866649002,1,0,127.33567457123112,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,11.757534260666516,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,10.633572072102885,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Acer,Ultrabook,8,1.12,10.872255357854844,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,10.964896292206694,0,0,127.33567457123112,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,11.921470624845266,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,9.536242657247662,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,10.883216300213936,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others
Lenovo,Notebook,8,2.8,10.523780128994506,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others
Dell,2 in 1 Convertible,8,1.62,10.70777173269934,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,10.793391597686284,0,1,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,12.69144112852859,1,0,254.67134914246225,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,10.841452101115571,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,11.204674904025437,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,10.927333190631044,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,11.495795582706762,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,10.176070200274824,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,10.584910269399517,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,11.442360501250736,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,12.000095897837827,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,11.21835894902589,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others
Dell,Notebook,6,2.3,10.060060439307303,1,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,11.550632725739694,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,11.254189968552817,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,10.367478139624737,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,10.633572072102885,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others
Asus,Gaming,16,2.9,11.224776083346525,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,9.83063294843456,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others
Lenovo,Notebook,8,2.2,10.283659467741664,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others
Huawei,Ultrabook,8,1.05,11.288114524334732,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,10.812765077263236,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,10.35398720988372,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,8,1.63,10.913845510249091,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,11.02220830408089,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,11.129394827810977,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,10.49374915225888,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others
Lenovo,2 in 1 Convertible,8,1.74,10.776844060703754,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,11.193004457928666,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,10.65264448747927,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,11.781988742399806,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,10.699393467053342,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,10.731341589592168,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,10.620651995737775,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,10.767905453702944,0,0,127.33567457123112,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,11.12154549394652,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,9.964497380151284,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,9.77465368069266,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,11.288114524334732,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,10.73132994821639,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,10.510802297245792,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,10.776844060703754,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others
Acer,Notebook,4,2.1,9.941707765355826,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others
Asus,Notebook,4,2.2,10.329931067029484,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,12.241725462844624,0,0,127.33567457123112,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,10.716080385838357,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,10.35398720988372,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,11.018720942220474,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,10.765658261746038,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Others
Dell,Gaming,8,2.56,10.754345923917311,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
